mean_planes,std_planes,mean_diversions,std_diversions,mean_landings,std_landings,mean_reposition,std_reposition
18.098,4.2073861360823654,0.003,0.054717401199198004,17.713,4.181161694208096,2.845,2.543116678888808
18.136,4.256950272862678,0.002,0.04469897088298564,17.764,4.197370834453625,2.808,2.4370217633568796
17.975,4.156639586571423,0.001,0.0316227766016838,17.62,4.106149103534899,2.586,2.3757626666500693
17.939,4.146621935198997,0.001,0.03162277660168379,17.556,4.099960203913408,2.66,2.3887457181764042
17.837,4.253295372005279,0.002,0.04469897088298564,17.504,4.223484559202487,2.623,2.447623717376072
18.022,4.138918535879468,0.002,0.04469897088298564,17.696,4.089781205677183,2.722,2.370302582864545
18.018,4.160166220595396,0.002,0.04469897088298564,17.633,4.123264763790013,2.73,2.4122435446942165
17.868,4.3205605241962814,0.001,0.03162277660168379,17.481,4.252025249068814,2.706,2.4729900282208335
18.159,4.232449956305761,0.002,0.04469897088298564,17.781,4.183125331320774,2.748,2.4965433560682913
17.787,4.092722978822459,0.0,0.0,17.407,4.049660572288837,2.649,2.457201016774337
18.012,4.201131455394547,0.004,0.06315051850925683,17.621,4.14373376672893,2.753,2.5263359581364813
18.06,4.3200767427284275,0.001,0.0316227766016838,17.675,4.282021801755651,2.861,2.438775640895781
18.053,4.2485575483028635,0.0,0.0,17.703,4.225238885985459,2.763,2.3728593429576605
17.984,4.032121278186211,0.001,0.0316227766016838,17.613,4.023607886017277,2.728,2.4343257674234855
17.998,4.250654545368755,0.001,0.03162277660168379,17.611,4.181047734738287,2.791,2.5134909263087932
17.995,4.233071449183664,0.0,0.0,17.621,4.21771835808748,2.739,2.5225467770176713
18.104,4.148058629092698,0.001,0.0316227766016838,17.735,4.1247774229391805,2.739,2.4881861003691164
18.011,4.076210801037465,0.001,0.0316227766016838,17.641,4.034401491596418,2.735,2.465533178412705
18.234,4.225766332998205,0.001,0.03162277660168379,17.836,4.168030287375138,2.918,2.5423885894449216
18.273,4.136372877362554,0.001,0.0316227766016838,17.909,4.065864022597196,2.741,2.4252424210376997
18.011,4.066868379775576,0.001,0.03162277660168379,17.643,4.003195795433516,2.697,2.340655820420779
18.194,4.249520257914113,0.005,0.07056897321046965,17.815,4.200764385373383,2.901,2.5380387389952586
